NP;82320
NN;48763
NP NP;43225
NN NN;25104
JJ NN;22006
NP CD;16672
NP NP NP;12124
NN NNS;9017
NNS;8638
JJ NNS;8147
JJ NP;6562
JJ NP NP;5667
NN NP NP;4755
NP NN;4755
NN NP;4353
NN NN NN;3671
JJ NN NN;3006
NN CD;2257
NP NP NN;1720
NP NNS;1695
JJ NP NP NP;1517
NN NP NP NP;1243
NP NPS;1108
NN NN NP;1082
NP NN NN;1024
NP NP CD;950
NP NP NPS;744
JJ NN NP;675
JJ NP NN;619
NN NN NN NN;599
NN NN NNS;592
JJ NP NNS;555
NP NP NP CD;547
JJ NN NNS;523
NP NP NNS;518
JJ NN NN NN;492
NP NP NP NN;457
NNS NP;434
NN NP CD;427
JJ NP NPS;382
NN NN CD;345
JJ NPS;321
NP POS NN;320
NNS CD;318
NP NN NP;291
NP POS NP;274
NN NP NP CD;271
NP NN CD;265
NN IN NP;257
NNS NP NP;220
NN NP NN;215
NP NP NN NN;214
NN NN NP NP;178
NNS NN;177
NP NN NN NN;175
NN NN NN NP;174
JJ NN NN CD;152
NN NN NP CD;143
NN NN NN CD;137
JJ NP NP NPS;136
JJ NN NN NP;135
NN NP NPS;134
NP NP NN NP;134
NNS NNS;133
NP NPS NP;130
NP NN NN NP;127
NPS;127
NN NP NP NN;113
NNS NN CD;112
NP NN NNS;96
JJ NN NP NP;93
NN NPS;86
NP NN NN CD;79
NN NNS NN;77
JJ NP NP NN;68
JJ NP NN NN;66
DT NN;1
DT NNS;1
DT NP;1
DT NPS;1
DT NN NN;1
DT NP NN;1
DT NN NNS;1
DT NP NPS;1
